date,ts_ms,coin,ret12,ret24,ret7d,day2_ret24,pump_max5m,mins_since_high12,retrace_from_high,vwap_dist,volr_15m,volr_1h,volr_2h,vol24_usd,oi_usd,funding_1h,funding_8h_sum,premium,spread_bps,depth_bid_05,depth_ask_05,btc_ret24,eth_ret24,breadth_up5,rank24,r30m,r1h,r2h,r3h,r6h,r24h,mae3h,fund_paid_3h,e18_r1h,e18_r2h,e18_r3h,e18_mae3h
2026-07-04,1783204474243,LINK,0.014553,0.006328,0.101058,0.029663,0.004945,265,0.018227,0.000335,0.531309,0.989098,0.725307,2868479,37068599,0.000013,,0.000151,,,,0.010291,0.015176,9,61,-0.001693,-0.002428,-0.009288,-0.013583,-0.013894,0.009723,0.000299,0.000038,-0.003168,-0.005193,-0.010373,0.000981
2026-07-04,1783204474243,STX,0.013757,-0.001844,0.032803,0.043298,0.006082,355,0.019644,-0.003985,0.267919,0.565406,0.736585,160438,355750,-0.000011,,-0.000231,,,,0.010291,0.015176,9,87,0.000462,-0.000173,-0.006468,-0.011261,-0.013282,0.002252,0.003292,-0.000000,-0.001783,-0.004429,-0.009088,0.001898
2026-07-04,1783204474243,CFX,0.007385,-0.006484,0.091101,0.047428,0.004522,280,0.014747,0.003643,0.238344,0.461896,0.534738,66674,3007377,0.000027,,0.001068,,,,0.010291,0.015176,9,108,0.001109,-0.002611,-0.007701,-0.014597,-0.022712,-0.010986,0.001131,0.000117,-0.002993,-0.006441,-0.010866,-0.001171
2026-07-04,1783204474243,GMX,0.007368,-0.012049,0.102562,0.019241,0.005178,280,0.013471,-0.000524,0.872872,0.778166,0.832659,91320,505214,0.000013,,0.000000,,,,0.010291,0.015176,9,130,-0.003322,-0.005553,-0.002802,-0.011810,-0.006861,0.006677,0.000017,0.000038,-0.003600,-0.003852,-0.003600,0.000435
2026-07-04,1783204474243,SNX,-0.000474,-0.075029,-0.039394,0.093694,0.010651,420,0.021167,-0.004064,0.215191,0.381112,0.451066,233957,640507,0.000008,,-0.001031,,,,0.010291,0.015176,9,175,-0.003532,-0.004997,-0.002671,-0.016111,-0.017920,-0.006548,0.004739,0.000030,-0.006529,-0.007903,-0.006873,0.001847
2026-07-04,1783204474243,XRP,0.019828,0.024412,0.110538,0.043594,0.007346,275,0.018243,-0.003559,0.170739,0.170439,0.291111,48724810,93123030,0.000013,,0.000086,,,,0.010291,0.015176,9,23,-0.001548,-0.002924,-0.012558,-0.016859,-0.018235,-0.004215,0.000602,0.000038,-0.004198,-0.008483,-0.015337,-0.000428
2026-07-04,1783204474243,BCH,0.042471,0.026425,0.204965,0.041415,0.008683,20,0.008968,0.016626,0.168354,1.296341,0.887283,2618775,6630904,-0.000001,,-0.000425,,,,0.010291,0.015176,9,21,-0.004886,-0.006202,-0.003059,0.008199,0.015294,0.033901,0.023068,-0.000005,0.001708,0.009608,0.011187,0.014390
2026-07-04,1783204474243,APT,0.012334,-0.008005,0.089092,0.046829,0.006307,280,0.018634,-0.001425,0.199223,0.383074,0.546706,862500,3677972,0.000013,,-0.000475,,,,0.010291,0.015176,9,116,-0.002690,-0.005222,-0.014241,-0.017563,-0.022627,0.008386,0.000791,0.000038,-0.003312,-0.010252,-0.015615,0.000946
2026-07-04,1783204474243,AAVE,0.010419,0.014002,-0.053535,0.017095,0.006133,270,0.015859,-0.003734,0.212177,0.317394,0.277307,10333148,82228002,0.000013,,0.000124,,,,0.010291,0.015176,9,38,-0.002744,-0.002777,-0.008872,-0.010716,-0.012526,0.003980,0.000371,0.000038,-0.005714,-0.008331,-0.009471,-0.000268
2026-07-04,1783204474243,COMP,0.014887,0.023716,0.092806,0.043981,0.006495,210,0.017500,-0.003220,0.304617,0.450608,0.468202,135151,832905,0.000013,,0.000000,,,,0.010291,0.015176,9,24,-0.001164,-0.000757,-0.008149,-0.014726,-0.018626,-0.008149,0.002561,0.000038,-0.005220,-0.005336,-0.010441,0.001160
2026-07-04,1783204474243,WLD,0.007737,-0.023055,-0.053986,0.074810,0.009874,300,0.037320,-0.015541,0.521978,1.676373,0.954543,15963261,42384874,0.000013,,0.000024,,,,0.010291,0.015176,9,147,0.002096,-0.001013,-0.021103,-0.019501,-0.019949,-0.014202,0.002803,0.000038,-0.006374,-0.006934,-0.026195,0.003175
2026-07-04,1783204474243,YGG,-0.004102,-0.010907,0.046005,0.042613,0.005754,425,0.017289,-0.007013,1.205762,0.733703,0.748908,65926,106604,-0.000018,,0.000000,,,,0.010291,0.015176,9,128,-0.002060,-0.003561,-0.006050,-0.013774,-0.016434,-0.004119,0.000729,0.000018,-0.002439,-0.006461,-0.008686,0.000171
2026-07-04,1783204474243,TRX,0.000307,0.007051,0.014297,0.019517,0.001200,150,0.002573,0.001202,0.133320,0.179200,0.231407,1457493,14807250,0.000013,,-0.000445,,,,0.010291,0.015176,9,54,-0.001044,-0.001198,-0.002119,-0.002979,-0.003071,0.010042,0.000553,0.000038,-0.001565,-0.002485,-0.002854,-0.000184
